term,variable,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo
intercept,intercept,Clase 2 vs Clase 1,-1.0662,0.8259,-1.2909,0.1967,0.3443,0.0682,1.7377,FALSE
intercept,intercept,Clase 3 vs Clase 1,-4.1708,1.0028,-4.1592,0,0.0154,0.0022,0.1102,TRUE
intercept,intercept,Clase 4 vs Clase 1,-2.0345,0.9358,-2.174,0.0297,0.1307,0.0209,0.8185,TRUE
urbano_rural,Zona urbana,Clase 2 vs Clase 1,0.9443,0.2454,3.8477,1e-4,2.5711,1.5893,4.1594,TRUE
urbano_rural,Zona urbana,Clase 3 vs Clase 1,0.6987,0.2757,2.5348,0.0112,2.0112,1.1717,3.4522,TRUE
urbano_rural,Zona urbana,Clase 4 vs Clase 1,-0.6054,0.3409,-1.7758,0.0758,0.5458,0.2798,1.0648,FALSE
mujerMujer,Mujer,Clase 2 vs Clase 1,-0.246,0.2274,-1.0815,0.2795,0.782,0.5007,1.2211,FALSE
mujerMujer,Mujer,Clase 3 vs Clase 1,-0.4139,0.2243,-1.8451,0.065,0.6611,0.4259,1.0261,FALSE
mujerMujer,Mujer,Clase 4 vs Clase 1,-0.2488,0.2457,-1.0129,0.3111,0.7797,0.4817,1.262,FALSE
indiindi,Identidad indígena,Clase 2 vs Clase 1,0.3044,0.2275,1.3384,0.1808,1.3559,0.8681,2.1176,FALSE
indiindi,Identidad indígena,Clase 3 vs Clase 1,0.4005,0.2317,1.7282,0.084,1.4926,0.9477,2.3507,FALSE
indiindi,Identidad indígena,Clase 4 vs Clase 1,0.534,0.238,2.2433,0.0249,1.7057,1.0698,2.7196,TRUE
edad.L,Edad,Clase 2 vs Clase 1,-0.594,0.2899,-2.0489,0.0405,0.5521,0.3128,0.9746,TRUE
edad.L,Edad,Clase 3 vs Clase 1,-0.8855,0.2945,-3.0069,0.0026,0.4125,0.2316,0.7347,TRUE
edad.L,Edad,Clase 4 vs Clase 1,-0.2202,0.2988,-0.7369,0.4612,0.8024,0.4467,1.4412,FALSE
edad.Q,Edad,Clase 2 vs Clase 1,-0.294,0.2749,-1.0696,0.2848,0.7453,0.4349,1.2773,FALSE
edad.Q,Edad,Clase 3 vs Clase 1,-0.0462,0.2822,-0.1637,0.87,0.9549,0.5492,1.6602,FALSE
edad.Q,Edad,Clase 4 vs Clase 1,-0.1267,0.2823,-0.4487,0.6537,0.881,0.5066,1.5322,FALSE
edad.C,Edad,Clase 2 vs Clase 1,0.4994,0.2729,1.8302,0.0672,1.6478,0.9652,2.8131,FALSE
edad.C,Edad,Clase 3 vs Clase 1,0.155,0.2652,0.5844,0.559,1.1677,0.6943,1.9637,FALSE
edad.C,Edad,Clase 4 vs Clase 1,0.1588,0.2927,0.5423,0.5876,1.1721,0.6603,2.0803,FALSE
edad^4,Edad,Clase 2 vs Clase 1,0.3486,0.2596,1.343,0.1793,1.4171,0.852,2.357,FALSE
edad^4,Edad,Clase 3 vs Clase 1,0.2201,0.2518,0.8741,0.3821,1.2462,0.7607,2.0416,FALSE
edad^4,Edad,Clase 4 vs Clase 1,0.6053,0.2876,2.1043,0.0353,1.8318,1.0424,3.2191,TRUE
edad^5,Edad,Clase 2 vs Clase 1,0.0138,0.2391,0.0578,0.9539,1.0139,0.6346,1.6201,FALSE
edad^5,Edad,Clase 3 vs Clase 1,0.1391,0.2395,0.5806,0.5615,1.1492,0.7186,1.8378,FALSE
edad^5,Edad,Clase 4 vs Clase 1,-0.216,0.259,-0.8341,0.4042,0.8057,0.4849,1.3386,FALSE
d1_1,Percepción de conflicto,Clase 2 vs Clase 1,0.1853,0.1188,1.5597,0.1188,1.2036,0.9536,1.5192,FALSE
d1_1,Percepción de conflicto,Clase 3 vs Clase 1,0.5013,0.1442,3.4773,5e-4,1.6509,1.2445,2.19,TRUE
d1_1,Percepción de conflicto,Clase 4 vs Clase 1,0.0441,0.1226,0.3601,0.7188,1.0451,0.8219,1.329,FALSE
c5,Confianza en pueblos originarios,Clase 2 vs Clase 1,-0.3438,0.1183,-2.9064,0.0037,0.7091,0.5623,0.8941,TRUE
c5,Confianza en pueblos originarios,Clase 3 vs Clase 1,-0.1613,0.1258,-1.2818,0.1999,0.8511,0.6651,1.0891,FALSE
c5,Confianza en pueblos originarios,Clase 4 vs Clase 1,-0.3524,0.1364,-2.5834,0.0098,0.703,0.538,0.9185,TRUE
d5_1,Justicia procedimental,Clase 2 vs Clase 1,0.4758,0.1182,4.0262,1e-4,1.6093,1.2766,2.0287,TRUE
d5_1,Justicia procedimental,Clase 3 vs Clase 1,-0.2994,0.1243,-2.4077,0.0161,0.7413,0.5809,0.9459,TRUE
d5_1,Justicia procedimental,Clase 4 vs Clase 1,0.8668,0.1277,6.7853,0,2.3793,1.8523,3.0563,TRUE
d6_1,Identificación con la causa,Clase 2 vs Clase 1,-0.5605,0.1076,-5.2098,0,0.5709,0.4624,0.7049,TRUE
d6_1,Identificación con la causa,Clase 3 vs Clase 1,0.5206,0.1252,4.1586,0,1.6831,1.3169,2.1512,TRUE
d6_1,Identificación con la causa,Clase 4 vs Clase 1,0.1925,0.1259,1.5293,0.1262,1.2123,0.9472,1.5515,FALSE
c13,Frecuencia de contacto,Clase 2 vs Clase 1,0.1027,0.0977,1.0507,0.2934,1.1082,0.915,1.3422,FALSE
c13,Frecuencia de contacto,Clase 3 vs Clase 1,0.0412,0.0938,0.4387,0.6609,1.042,0.867,1.2524,FALSE
c13,Frecuencia de contacto,Clase 4 vs Clase 1,-0.197,0.107,-1.8408,0.0656,0.8212,0.6658,1.0128,FALSE
